conc,rain_setting,exp,rep,cloudy,umbrella,em_tskew,em_t,ddpcRquant
0.4,4,4,1,0.340098805,0.401971219,0.367663671,0.369470748,0.310677792
0.4,4,4,2,0.336172282,0.380967637,0.365787768,0.369109071,0.313615454
0.4,4,4,3,0.338835026,0.395712817,0.363987329,0.367158274,0.318760028
0.4,4,5,1,0.336662255,0.378044513,0.368458382,0.371208619,0.304692601
0.4,4,5,2,0.341223506,0.409322538,0.367374841,0.371136148,0.307612708
0.4,4,5,3,0.339677368,0.41143288,0.366436721,0.371063681,0.308156926
1,1,1,1,0.999944117,0.999944117,0.999944117,0.999944117,0.999944117
1,1,1,2,0.999944117,1.000215967,0.999944117,0.999944117,0.999944117
1,1,1,3,0.999944117,0.999944117,0.999944117,0.999944117,0.999944117
1,1,2,1,0.999944117,0.999944117,0.999944117,0.999944117,0.999944117
1,1,2,2,0.999944117,0.999944117,0.999944117,0.999944117,0.999944117
1,1,2,3,0.999944117,0.999944117,0.999944117,0.999944117,0.999944117
1,1,3,1,0.999944117,1.000080033,0.999944117,0.999944117,0.999944117
1,1,3,2,0.999944117,0.999944117,0.999944117,0.999944117,0.999944117
1,1,3,3,0.999944117,0.999944117,0.999944117,0.999944117,0.999944117
1,1,4,1,0.999944117,0.999944117,0.999944117,0.999944117,0.999944117
1,1,4,2,0.999944117,1.000080033,0.999944117,0.999944117,0.999944117
1,1,4,3,0.999944117,0.999944117,0.999944117,0.999944117,0.999944117
1,1,5,1,0.999944117,0.999944117,0.999944117,0.999944117,0.999944117
1,1,5,2,0.999944117,0.999944117,0.999944117,0.999944117,0.999944117
1,1,5,3,0.999944117,1.001304106,0.999944117,0.999944117,0.999944117
1,2,1,1,0.982697664,0.99398204,0.991553216,0.989130278,0.977634362
1,2,1,2,0.981763022,0.996958635,0.993036796,0.989937272,0.980562622
1,2,1,3,0.981896489,0.993711879,0.991283711,0.989668202,0.977900214
1,2,2,1,0.980962595,1.001168024,0.992227298,0.989802728,0.976306164
1,2,2,2,0.983766897,0.99546923,0.992227298,0.99047563,0.979363661
1,2,2,3,0.982029974,0.996281358,0.992631965,0.990341013,0.976571663
1,2,3,1,0.982430534,0.997907595,0.993171776,0.990879589,0.980829253
1,2,3,2,0.984301942,0.997771974,0.994252273,0.992227298,0.985774795
1,2,3,3,0.980562622,0.99479296,0.99398204,0.991283711,0.979896355
1,2,4,1,0.982697664,0.998993224,0.993711879,0.991553216,0.983365801
1,2,4,2,0.982964865,0.997500787,0.992092445,0.989937272,0.982029974
1,2,4,3,0.98256409,0.997094145,0.993306775,0.990341013,0.982697664
1,2,5,1,0.984837274,0.993306775,0.994252273,0.992092445,0.98363318
1,2,5,2,0.983232138,0.994928177,0.993711879,0.991687996,0.983232138
1,2,5,3,0.984034384,0.997771974,0.992497058,0.990744918,0.983499482
1,3,1,1,0.927857368,0.977102871,0.971142983,0.979230532,0.863461118
1,3,1,2,0.920424263,0.967715614,0.969955256,0.976306164,0.870481196
1,3,1,3,0.920298753,0.983365801,0.967978841,0.976438905,0.878513368
1,3,2,1,0.92874294,0.976571663,0.969691509,0.978565151,0.859674131
1,3,2,2,0.919420625,0.974847181,0.969296017,0.977767279,0.853902959
1,3,2,3,0.918167492,0.984569573,0.971935586,0.97909742,0.841995277
1,3,3,1,0.919295241,0.975510092,0.968505503,0.976704438,0.823028101
1,3,3,2,0.928616382,0.980829253,0.971407114,0.975908049,0.854137867
1,3,3,3,0.927604492,0.977501463,0.975908049,0.984569573,0.828508818
1,3,4,1,0.92092646,0.979496808,0.970746918,0.979230532,0.854960477
1,3,4,2,0.918543267,0.980562622,0.963251321,0.975642726,0.871197871
1,3,4,3,0.925079238,0.972199926,0.976040736,0.982163476,0.858729621
1,3,5,1,0.923441236,0.971803442,0.969691509,0.976040736,0.844900736
1,3,5,2,0.922811949,0.972861083,0.97127504,0.979629972,0.845948771
1,3,5,3,0.930896884,0.973390324,0.972199926,0.978964326,0.84501713
1,4,1,1,0.798396591,1.433595634,0.912049738,0.918919183,0.717234976
1,4,1,2,0.817577259,1.485893726,0.917041013,0.92874294,0.744229971
1,4,1,3,0.810805224,0.920424263,0.914167986,0.92444892,0.716927709
1,4,2,1,0.802627281,1.490322432,0.911427576,0.92545762,0.721135217
1,4,2,2,0.810805224,0.962989335,0.917541514,0.930770053,0.711514838
1,4,2,3,0.805084834,1.427950036,0.913295223,0.92545762,0.713043812
1,4,3,1,0.825764705,0.913419857,0.915915802,0.932801284,0.737203567
1,4,3,2,0.809119357,0.948943064,0.911427576,0.921805913,0.738981717
1,4,3,3,0.812381268,0.914916676,0.918167492,0.929629296,0.734698608
1,4,4,1,0.814298382,1.366491734,0.910184413,0.926088574,0.706333742
1,4,4,2,0.798841085,1.449873343,0.899187824,0.926088574,0.699769057
1,4,4,3,0.81181811,0.915041512,0.910930126,0.92545762,0.697356025
1,4,5,1,0.804525769,1.509366359,0.91130319,0.92444892,0.702187925
1,4,5,2,0.810018132,0.927857368,0.911800827,0.91967144,0.711107506
1,4,5,3,0.816106088,0.97458214,0.914542261,0.926719927,0.717644812
2.5,1,1,1,2.499817263,2.499817263,2.499817263,2.499817263,2.499817263
2.5,1,1,2,2.499817263,2.499817263,2.499817263,2.499817263,2.499817263
2.5,1,1,3,2.499817263,2.499817263,2.499817263,2.499817263,2.499817263
2.5,1,2,1,2.499817263,2.499817263,2.499817263,2.499817263,2.499817263
2.5,1,2,2,2.499817263,2.502256288,2.499817263,2.499817263,2.499817263
2.5,1,2,3,2.499817263,2.499817263,2.499817263,2.499817263,2.499817263
2.5,1,3,1,2.499817263,2.511455985,2.499817263,2.499817263,2.499817263
2.5,1,3,2,2.499817263,2.50531346,2.499817263,2.499817263,2.499817263
2.5,1,3,3,2.499817263,2.540207966,2.499817263,2.499817263,2.499817263
2.5,1,4,1,2.499817263,2.502866975,2.499817263,2.499817263,2.499817263
2.5,1,4,2,2.499817263,2.499817263,2.499817263,2.499817263,2.499817263
2.5,1,4,3,2.499817263,2.50531346,2.499817263,2.499817263,2.499817263
2.5,1,5,1,2.499817263,2.504701277,2.499817263,2.499817263,2.499817263
2.5,1,5,2,2.499817263,2.501036032,2.499817263,2.499817263,2.499817263
2.5,1,5,3,2.499817263,2.499817263,2.499817263,2.499817263,2.499817263
2.5,2,1,1,2.434974281,2.538307427,2.466870287,2.443572786,2.373544182
2.5,2,1,2,2.416313858,0.437730069,2.450505223,2.42871537,2.357569401
2.5,2,1,3,2.439550948,2.561355822,2.468049533,2.447032997,2.394152287
2.5,2,2,1,2.452245868,0.442466286,2.467459736,2.45457145,2.395797475
2.5,2,2,2,2.441272613,2.514541455,2.47278047,2.452826756,2.394700382
2.5,2,2,3,2.430986808,2.522608517,2.449925681,2.433263417,2.371399409
2.5,2,3,1,2.438977718,0.441532797,2.473373414,2.452245868,2.377847577
2.5,2,3,2,2.441272613,2.482310024,2.465104022,2.447610865,2.373007557
2.5,2,3,3,2.455736272,0.439823661,2.47693848,2.458654279,2.36765709
2.5,2,4,1,2.428148316,2.501036032,2.459823869,2.438977718,2.371399409
2.5,2,4,2,2.429850444,2.493745598,2.462753845,2.436688078,2.370863934
2.5,2,4,3,2.420805724,0.445662298,2.46099483,2.437259996,2.382169572
2.5,2,5,1,2.434403668,2.519498095,2.468639677,2.442997247,2.391416307
2.5,2,5,2,2.441272613,0.439047745,2.474560358,2.451085101,2.402958067
2.5,2,5,3,2.42871537,2.520119406,2.456319193,2.436116486,2.390324007
2.5,3,1,1,2.263845265,0.529244209,2.430986808,2.494956986,1.765214914
2.5,3,1,2,2.24620476,0.508411873,2.380546634,2.444148657,1.701827362
2.5,3,1,3,2.256656161,0.52517813,2.393604491,2.481711759,1.726533684
2.5,3,2,1,2.271086426,0.513495852,2.408501319,2.475748712,1.845476752
2.5,3,2,2,2.261923111,0.505092092,2.411842079,2.463928243,1.726533684
2.5,3,2,3,2.23914092,0.482157185,2.396895772,2.442997247,1.808498793
2.5,3,3,1,2.239610294,0.515084681,2.397995278,2.45457145,1.676379318
2.5,3,3,2,2.258568208,0.534435489,2.411842079,2.478129666,1.804236991
2.5,3,3,3,2.24620476,0.514833645,2.401853095,2.471003745,1.729348209
2.5,3,4,1,2.252843001,0.504181081,2.42871537,2.502866975,1.785280503
2.5,3,4,2,2.247623535,0.509909377,2.400749342,2.458654279,1.814618763
2.5,3,4,3,2.229334631,0.534776845,2.354404842,2.433263417,1.781116309
2.5,3,5,1,2.23914092,0.531028331,2.394152287,2.453989547,1.750137795
2.5,3,5,2,2.268183666,0.52915933,2.440698395,2.493140455,1.840424641
2.5,3,5,3,2.253794929,0.51961413,2.383795148,2.465104022,1.747838282
2.5,4,1,1,1.897786874,0.663879683,2.237734121,2.319222734,1.373180722
2.5,4,1,2,1.920388612,0.653926467,2.298095188,2.373007557,0.613781625
2.5,4,1,3,1.883874758,0.681811671,2.212287455,2.283272782,1.338266392
2.5,4,2,1,1.878952681,0.663200104,2.235393843,2.302085218,0.534862202
2.5,4,2,2,1.881574774,0.671190013,2.285727976,2.339249077,0.563435574
2.5,4,2,3,1.909530005,0.668552134,2.311121424,2.374618296,0.509826123
2.5,4,3,1,1.891800823,0.650950132,2.215490386,2.287696481,1.456073256
2.5,4,3,2,1.866914143,0.661454734,2.247150386,2.314657674,1.419230861
2.5,4,3,3,1.842000686,0.652773286,2.153734146,2.215032196,1.311558015
2.5,4,4,1,1.898454208,0.662036186,2.264326381,2.320240028,1.29810035
2.5,4,4,2,1.878625402,0.667674385,2.213658884,2.287696481,1.354214468
2.5,4,4,3,1.87307799,0.653349711,2.204551353,2.299589584,1.317328157
2.5,4,5,1,1.890806623,0.632428446,2.254747764,2.3227878,1.370421012
2.5,4,5,2,1.878952681,0.639606414,2.240079888,2.311625838,1.440961762
2.5,4,5,3,1.863685209,0.678652734,2.231660755,2.294121015,1.366295675
