conc,rain_setting,exp,rep,Attribute,Value
0.1,1,4,3,cloudy,0.099986095
0.1,1,4,3,ddpcRquant,0.099986095
0.1,1,4,3,umbrella,0.099986095
0.1,1,4,3,em_t,0.099986095
0.1,1,4,3,em_tskew,0.099986095
0.1,1,5,1,cloudy,0.099986095
0.1,1,5,1,ddpcRquant,0.099986095
0.1,1,5,1,umbrella,0.099986095
0.1,1,5,1,em_t,0.099986095
0.1,1,5,1,em_tskew,0.099986095
0.1,1,5,2,cloudy,0.099986095
0.1,1,5,2,ddpcRquant,0.099986095
0.1,1,5,2,umbrella,0.099986095
0.1,1,5,2,em_t,0.099986095
0.1,1,5,2,em_tskew,0.099986095
0.1,1,5,3,cloudy,0.099986095
0.1,1,5,3,ddpcRquant,0.099986095
0.1,1,5,3,umbrella,0.099986095
0.1,1,5,3,em_t,0.099986095
0.1,1,5,3,em_tskew,0.099986095
0.1,2,1,1,cloudy,0.0965109
0.1,2,1,1,ddpcRquant,0.098495247
0.1,2,1,1,umbrella,0.099765088
0.1,2,1,1,em_t,0.09943367
0.1,2,1,1,em_tskew,0.09943367
0.1,2,1,2,cloudy,0.098274569
0.1,2,1,2,ddpcRquant,0.098715973
0.1,2,1,2,umbrella,0.100262422
0.1,2,1,2,em_t,0.099268002
0.1,2,1,2,em_tskew,0.09954413
0.1,2,1,3,cloudy,0.098991949
0.1,2,1,3,ddpcRquant,0.099488899
0.1,2,1,3,umbrella,0.099986095
0.1,2,1,3,em_t,0.099709844
0.1,2,1,3,em_tskew,0.099765088
0.1,2,2,1,cloudy,0.098274569
0.1,2,2,1,ddpcRquant,0.098219408
0.1,2,2,1,umbrella,0.099378444
0.1,2,2,1,em_t,0.099102361
0.1,2,2,1,em_tskew,0.099268002
0.1,2,2,2,cloudy,0.097557704
0.1,2,2,2,ddpcRquant,0.098605604
0.1,2,2,2,umbrella,0.100041354
0.1,2,2,2,em_t,0.099654603
0.1,2,2,2,em_tskew,0.099709844
0.1,2,2,3,cloudy,0.098826354
0.1,2,2,3,ddpcRquant,0.099047154
0.1,2,2,3,umbrella,0.099875585
0.1,2,2,3,em_t,0.099654603
0.1,2,2,3,em_tskew,0.099765088
0.1,2,3,1,cloudy,0.098605604
0.1,2,3,1,ddpcRquant,0.098826354
0.1,2,3,1,umbrella,0.100151882
0.1,2,3,1,em_t,0.09943367
0.1,2,3,1,em_tskew,0.099599365
0.1,2,3,2,cloudy,0.098329734
0.1,2,3,2,ddpcRquant,0.09888155
0.1,2,3,2,umbrella,0.099820335
0.1,2,3,2,em_t,0.099378444
0.1,2,3,2,em_tskew,0.099378444
0.1,2,3,3,cloudy,0.096731189
0.1,2,3,3,ddpcRquant,0.098771162
0.1,2,3,3,umbrella,0.100538825
0.1,2,3,3,em_t,0.099488899
0.1,2,3,3,em_tskew,0.09954413
0.1,2,4,1,cloudy,0.096731189
0.1,2,4,1,ddpcRquant,0.098715973
0.1,2,4,1,umbrella,0.100594115
0.1,2,4,1,em_t,0.099102361
0.1,2,4,1,em_tskew,0.099102361
0.1,2,4,2,cloudy,0.098384902
0.1,2,4,2,ddpcRquant,0.098936748
0.1,2,4,2,umbrella,0.101147182
0.1,2,4,2,em_t,0.099323221
0.1,2,4,2,em_tskew,0.099268002
0.1,2,4,3,cloudy,0.097061713
0.1,2,4,3,ddpcRquant,0.099488899
0.1,2,4,3,umbrella,0.100649408
0.1,2,4,3,em_t,0.099765088
